# Na-Usdi-Agigage-Jitaga-Agisi.lyx
# ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ㉑ ㉒ ㉓ ㉔ ㉕ ㉖ ㉗ ㉘ ㉙ ㉚ ㉛ ㉜ ㉝ ㉞ ㉟ ㊱ ㊲ ㊳ ㊴ ㊵ ㊶ ㊷ ㊸ ㊹ ㊺ ㊻ ㊼ ㊽ ㊾ ㊿
Syllabary|Pronounce|Breakdown|Definition
ᏣᏫᏒᎩ|||You planted it.
ᏣᏫᏛᎲᎩ|||You took it somewhere.
ᏥᎩ|||I am eating it.
ᏥᎩᎦᎨ|||I am red.
ᏥᎩᏎᎦ||Ꮵ- ᎤᎩᏒᎢ -ᎡᎦ|I am leaving to get it.
ᏥᎪᏩᏘᎭ|||I see him, her, or it.
ᏥᎾᎵ|||I am lazy.
ᏥᏈᏍᏗ|||Many.
ᏥᏔᎦ|||A chicken. Chickens.
ᏥᏔᎦᏃ|||And the chicken.
ᏥᏔᎦᏍ|||Is it the chicken?
ᏥᏚᎲᏍᎦ|||I am baking it.
ᏥᏥᏔᎦ|||I am a chicken.
ᏥᏩᏔ|||I just found it.
ᏧᎾᎵᎢ|||① His or her friends. ② Their friends.
ᏧᏂᎸᏫᏍᏓᏁᎯ|||They who work for another.
ᏧᏩᏟᏐᏗ|||For him or her to gather them.
ᏩᎩᏫᏛᎲᎩ|||I took it somewhere.
ᏪᎾ|hwè:na||Go away!
ᏪᏌ|||A cat. Cats.
ᏪᏌᏍ|||Is it the cat?
ᏫᎩᏎᎦᏍ||Ꮻ- Ꭿ- ᎤᎩᏒᎢ -ᎡᎦ -ᏍᎪ|Are you leaving to get it?
ᏫᏍᏕᎾ|||Let you two go.
ᏫᏛᎩᏒᏏ||Ꮻ- Ꮣ- ᎤᎩᏒᎢ -ᎥᏒᎢ|He or she will leave to get it.
ᏫᏤᎾ|||Let you go.
ᏭᎪᏛ|||Most.
ᏭᏁᏅᏎ|||They went away.
ᏭᏪᏅᏎ|||Away he or she went.
ᏯᏩᏔ|||*
ᏯᏫᏗᎭ|||*
ᏰᎾ|||*
ᏰᏅᏒᎭ|||*
Ᏹ- -Ꭰ|||When something does or happens, something else usually does or happens.
ᏱᎨᎦ|||*
ᏱᎩ|||*
ᏱᎬᏍᏕᎵᎭ|||*
ᏱᎬᏩᎩᎸᏗ|||*
ᏱᏂᎦᏛᏁᎭ|||*
ᏱᏂᎬᏩᎾᏛᏁᏗ|||If they can do it.
ᏱᏂᎬᏩᏛᏁᏗ|||*
ᏱᏂᏓᏣᏛᏁᎵ|||*
ᏱᏓᏣᎯ|||*
ᏱᏓᏥᎩ|||*
ᏱᏖᎾ|||*
ᏱᏛᏂᎩᏒᏏ|||*
ᏱᏛᏂᏫᏛᎯ|||*
ᏱᏛᏍᏚᎢᏏ|||*
ᏱᏛᏫᏏ|||*
ᏱᏣᎵᏍᏕᎵᏍᎪ|||*
ᏱᏣᎵᏍᏕᎸᎮ|||*
